code,description,last_updated
B4216,"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes), home mix, per day",09/11/2025
B4220,"Parenteral nutrition supply kit; premix, per day",09/11/2025
B4222,"Parenteral nutrition supply kit; home mix, per day",09/11/2025
B4224,"Parenteral nutrition administration kit, per day",09/11/2025
B5000,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, renal-aminosyn-rf, nephramine, renamine-premix",09/11/2025
B5100,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, hepatic, hepatamine-premix",09/11/2025
B5200,"Parenteral nutrition solution compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, stress-branch chain amino acids-freamine-hbc-premix",09/11/2025
B9000,Enteral nutrition infusion pump - without alarm,09/11/2025
B9002,"Enteral nutrition infusion pump, any type",09/11/2025
B9004,"Parenteral nutrition infusion pump, portable",09/11/2025
B9006,"Parenteral nutrition infusion pump, stationary",09/11/2025
B9998,Noc for enteral supplies,09/11/2025
B9999,Noc for parenteral supplies,09/11/2025
C1052,"Hemostatic agent, gastrointestinal, topical",09/11/2025
C1062,"Intravertebral body fracture augmentation with implant (e.g., metal, polymer)",09/11/2025
C1300,"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval",09/11/2025
C1600,"Catheter, transluminal intravascular lesion preparation device, bladed, sheathed (insertable)",09/11/2025
C1601,"Endoscope, single-use (i.e. disposable), pulmonary, imaging/illumination device (insertable)",09/11/2025
C1602,"Orthopedic/device/drug matrix/absorbable bone void filler, antimicrobial-eluting (implantable)",09/11/2025
C1603,"Retrieval device, insertable, laser (used to retrieve intravascular inferior vena cava filter)",09/11/2025
C1604,"Graft, transmural transvenous arterial bypass (implantable), with all delivery system components",09/11/2025
C1605,"Pacemaker, leadless, dual chamber (right atrial and right ventricular implantable components), rate-responsive, including all necessary components for implantation",09/11/2025
C1606,"Adapter, single-use (i.e. disposable), for attaching ultrasound system to upper gastrointestinal endoscope",09/11/2025
C1713,Anchor/screw for opposing bone-to-bone or soft tissue-to-bone (implantable),09/11/2025
C1714,"Catheter, transluminal atherectomy, directional",09/11/2025
C1715,Brachytherapy needle,09/11/2025
C1716,"Brachytherapy source, non-stranded, gold-198, per source",09/11/2025
C1717,"Brachytherapy source, non-stranded, high dose rate iridium-192, per source",09/11/2025
C1719,"Brachytherapy source, non-stranded, non-high dose rate iridium-192, per source",09/11/2025
C1721,"Cardioverter-defibrillator, dual chamber (implantable)",09/11/2025
C1722,"Cardioverter-defibrillator, single chamber (implantable)",09/11/2025
C1724,"Catheter, transluminal atherectomy, rotational",09/11/2025
C1725,"Catheter, transluminal angioplasty, non-laser (may include guidance, infusion/perfusion capability)",09/11/2025
C1726,"Catheter, balloon dilatation, non-vascular",09/11/2025
C1727,"Catheter, balloon tissue dissector, non-vascular (insertable)",09/11/2025
C1728,"Catheter, brachytherapy seed administration",09/11/2025
C1729,"Catheter, drainage",09/11/2025
C1730,"Catheter, electrophysiology, diagnostic, other than 3d mapping (19 or fewer electrodes)",09/11/2025
C1731,"Catheter, electrophysiology, diagnostic, other than 3d mapping (20 or more electrodes)",09/11/2025
C1732,"Catheter, electrophysiology, diagnostic/ablation, 3d or vector mapping",09/11/2025
C1733,"Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector mapping, other than cool-tip",09/11/2025
C1734,Orthopedic/device/drug matrix for opposing bone-to-bone or soft tissue-to bone (implantable),09/11/2025
C1735,"Catheter(s), intravascular for renal denervation, radiofrequency, including all single use system components",09/11/2025
C1736,"Catheter(s), intravascular for renal denervation, ultrasound, including all single use system components",09/11/2025
C1737,"Joint fusion and fixation device(s), sacroiliac and pelvis, including all system components (implantable)",09/11/2025
C1738,"Powered, single-use (i.e. disposable) endoscopic ultrasound-guided biopsy device",09/11/2025
C1739,"Tissue marker, uniquely detectable and identifiable with probe/sensor, any method (implantable), with delivery system",09/11/2025
C1740,"Leadless electrode, transmitter, battery (all implantable), for sequential left ventricular pacing",09/11/2025
C1741,"Anchor/screw for bone fixation, absorbable (implantable)",09/11/2025
C1742,"Pressure monitoring system, compartmental intramuscular (implantable), continuous, including all components (e.g., introducer, sensor), excludes mobile (wireless) software application",09/11/2025
C1747,"Endoscope, single-use (i.e. disposable), urinary tract, imaging/illumination device (insertable)",09/11/2025
C1748,"Endoscope, single-use (i.e. disposable), upper gi, imaging/illumination device (insertable)",09/11/2025
C1749,"Endoscope, retrograde imaging/illumination colonoscope device (implantable)",09/11/2025
C1750,"Catheter, hemodialysis/peritoneal, long-term",09/11/2025
C1751,"Catheter, infusion, inserted peripherally, centrally or midline (other than hemodialysis)",09/11/2025
C1752,"Catheter, hemodialysis/peritoneal, short-term",09/11/2025
C1753,"Catheter, intravascular ultrasound",09/11/2025
C1754,"Catheter, intradiscal",09/11/2025
C1755,"Catheter, intraspinal",09/11/2025
C1756,"Catheter, pacing, transesophageal",09/11/2025
C1757,"Catheter, thrombectomy/embolectomy",09/11/2025
C1758,"Catheter, ureteral",09/11/2025
C1759,"Catheter, intracardiac echocardiography",09/11/2025
C1760,"Closure device, vascular (implantable/insertable)",09/11/2025
C1761,"Catheter, transluminal intravascular lithotripsy, coronary",09/11/2025
C1762,"Connective tissue, human (includes fascia lata)",09/11/2025
C1763,"Connective tissue, non-human (includes synthetic)",09/11/2025
C1764,"Event recorder, cardiac (implantable)",09/11/2025
C1765,Adhesion barrier,09/11/2025
C1766,"Introducer/sheath, guiding, intracardiac electrophysiological, steerable, other than peel-away",09/11/2025
C1767,"Generator, neurostimulator (implantable), non-rechargeable",09/11/2025
C1768,"Graft, vascular",09/11/2025
C1769,Guide wire,09/11/2025
C1770,"Imaging coil, magnetic resonance (insertable)",09/11/2025
C1771,"Repair device, urinary, incontinence, with sling graft",09/11/2025
C1772,"Infusion pump, programmable (implantable)",09/11/2025
C1773,"Retrieval device, insertable (used to retrieve fractured medical devices)",09/11/2025
C1776,Joint device (implantable),09/11/2025
C1777,"Lead, cardioverter-defibrillator, endocardial single coil (implantable)",09/11/2025
C1778,"Lead, neurostimulator (implantable)",09/11/2025
C1779,"Lead, pacemaker, transvenous vdd single pass",09/11/2025
C1780,"Lens, intraocular (new technology)",09/11/2025
C1781,Mesh (implantable),09/11/2025
C1782,Morcellator,09/11/2025
C1783,"Ocular implant, aqueous drainage assist device",09/11/2025
C1784,"Ocular device, intraoperative, detached retina",09/11/2025
C1785,"Pacemaker, dual chamber, rate-responsive (implantable)",09/11/2025
C1786,"Pacemaker, single chamber, rate-responsive (implantable)",09/11/2025
C1787,"Patient programmer, neurostimulator",09/11/2025
C1788,"Port, indwelling (implantable)",09/11/2025
C1789,"Prosthesis, breast (implantable)",09/11/2025
C1813,"Prosthesis, penile, inflatable",09/11/2025
C1814,"Retinal tamponade device, silicone oil",09/11/2025
C1815,"Prosthesis, urinary sphincter (implantable)",09/11/2025
C1816,"Receiver and/or transmitter, neurostimulator (implantable)",09/11/2025
C1817,"Septal defect implant system, intracardiac",09/11/2025
C1818,Integrated keratoprosthesis,09/11/2025
C1819,Surgical tissue localization and excision device (implantable),09/11/2025
C1820,"Generator, neurostimulator (implantable), with rechargeable battery and charging system",09/11/2025
C1821,Interspinous process distraction device (implantable),09/11/2025
C1822,"Generator, neurostimulator (implantable), high frequency, with rechargeable battery and charging system",09/11/2025
C1823,"Generator, neurostimulator (implantable), non-rechargeable, with transvenous sensing and stimulation leads",09/11/2025
C1824,"Generator, cardiac contractility modulation (implantable)",09/11/2025
C1825,"Generator, neurostimulator (implantable), non-rechargeable with carotid sinus baroreceptor stimulation lead(s)",09/11/2025
C1826,"Generator, neurostimulator (implantable), includes closed feedback loop leads and all implantable components, with rechargeable battery and charging system",09/11/2025
C1827,"Generator, neurostimulator (implantable), non-rechargeable, with implantable stimulation lead and external paired stimulation controller",09/11/2025
C1830,Powered bone marrow biopsy needle,09/11/2025
C1831,"Interbody cage, anterior, lateral or posterior, personalized (implantable)",09/11/2025
C1832,"Autograft suspension, including cell processing and application, and all system components",09/11/2025
C1833,"Monitor, cardiac, including intracardiac lead and all system components (implantable)",09/11/2025
C1834,"Pressure sensor system, includes all components (e.g., introducer, sensor), intramuscular (implantable), excludes mobile (wireless) software application",09/11/2025
C1839,Iris prosthesis,09/11/2025
C1840,"Lens, intraocular (telescopic)",09/11/2025
C1841,"Retinal prosthesis, includes all internal and external components",09/11/2025
C1842,"Retinal prosthesis, includes all internal and external components; add-on to c1841",09/11/2025
C1849,"Skin substitute, synthetic, resorbable, per square centimeter",09/11/2025
C1874,"Stent, coated/covered, with delivery system",09/11/2025
C1875,"Stent, coated/covered, without delivery system",09/11/2025
C1876,"Stent, non-coated/non-covered, with delivery system",09/11/2025
C1877,"Stent, non-coated/non-covered, without delivery system",09/11/2025
C1878,"Material for vocal cord medialization, synthetic (implantable)",09/11/2025
C1880,Vena cava filter,09/11/2025
C1881,Dialysis access system (implantable),09/11/2025
C1882,"Cardioverter-defibrillator, other than single or dual chamber (implantable)",09/11/2025
C1883,"Adapter/extension, pacing lead or neurostimulator lead (implantable)",09/11/2025
C1884,Embolization protective system,09/11/2025
C1885,"Catheter, transluminal angioplasty, laser",09/11/2025
C1886,"Catheter, extravascular tissue ablation, any modality (insertable)",09/11/2025
C1887,"Catheter, guiding (may include infusion/perfusion capability)",09/11/2025
C1888,"Catheter, ablation, non-cardiac, endovascular (implantable)",09/11/2025
C1889,"Implantable/insertable device, not otherwise classified",09/11/2025
C1890,No implantable/insertable device used with device-intensive procedures,09/11/2025
C1891,"Infusion pump, non-programmable, permanent (implantable)",09/11/2025
C1892,"Introducer/sheath, guiding, intracardiac electrophysiological, fixed-curve, peel-away",09/11/2025
C1893,"Introducer/sheath, guiding, intracardiac electrophysiological, fixed-curve, other than peel-away",09/11/2025
C1894,"Introducer/sheath, other than guiding, other than intracardiac electrophysiological, non-laser",09/11/2025
C1895,"Lead, cardioverter-defibrillator, endocardial dual coil (implantable)",09/11/2025
C1896,"Lead, cardioverter-defibrillator, other than endocardial single or dual coil (implantable)",09/11/2025
C1897,"Lead, neurostimulator test kit (implantable)",09/11/2025
C1898,"Lead, pacemaker, other than transvenous vdd single pass",09/11/2025
C1899,"Lead, pacemaker/cardioverter-defibrillator combination (implantable)",09/11/2025
C1900,"Lead, left ventricular coronary venous system",09/11/2025
C1982,"Catheter, pressure-generating, (e.g., one-way valve, intermittently occlusive)",09/11/2025
C2596,"Probe, image-guided, robotic, waterjet ablation",09/11/2025
C2613,Lung biopsy plug with delivery system,09/11/2025
C2614,"Probe, percutaneous lumbar discectomy",09/11/2025
C2615,"Sealant, pulmonary, liquid",09/11/2025
C2616,"Brachytherapy source, non-stranded, yttrium-90, per source",09/11/2025
C2617,"Stent, non-coronary, temporary, without delivery system",09/11/2025
C2618,"Probe/needle, cryoablation",09/11/2025
C2619,"Pacemaker, dual chamber, non rate-responsive (implantable)",09/11/2025
C2620,"Pacemaker, single chamber, non rate-responsive (implantable)",09/11/2025
C2621,"Pacemaker, other than single or dual chamber (implantable)",09/11/2025
C2622,"Prosthesis, penile, non-inflatable",09/11/2025
C2623,"Catheter, transluminal angioplasty, drug-coated, non-laser",09/11/2025
C2624,"Implantable wireless pulmonary artery pressure sensor with delivery catheter, including all system components",09/11/2025
C2625,"Stent, non-coronary, temporary, with delivery system",09/11/2025
C2626,"Infusion pump, non-programmable, temporary (implantable)",09/11/2025
C2627,"Catheter, suprapubic/cystoscopic",09/11/2025
C2628,"Catheter, occlusion",09/11/2025
C2629,"Introducer/sheath, other than guiding, other than intracardiac electrophysiological, laser",09/11/2025
C2630,"Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector mapping, cool-tip",09/11/2025
C2631,"Repair device, urinary, incontinence, without sling graft",09/11/2025
C2634,"Brachytherapy source, non-stranded, high activity, iodine-125, greater than 1.01 mci (nist), per source",09/11/2025
C2635,"Brachytherapy source, non-stranded, high activity, palladium-103, greater than 2.2 mci (nist), per source",09/11/2025
C2636,"Brachytherapy linear source, non-stranded, palladium-103, per 1 mm",09/11/2025
C2637,"Brachytherapy source, non-stranded, ytterbium-169, per source",09/11/2025
C2638,"Brachytherapy source, stranded, iodine-125, per source",09/11/2025
C2639,"Brachytherapy source, non-stranded, iodine-125, per source",09/11/2025
C2640,"Brachytherapy source, stranded, palladium-103, per source",09/11/2025
C2641,"Brachytherapy source, non-stranded, palladium-103, per source",09/11/2025
C2642,"Brachytherapy source, stranded, cesium-131, per source",09/11/2025
C2643,"Brachytherapy source, non-stranded, cesium-131, per source",09/11/2025
C2644,"Brachytherapy source, cesium-131 chloride solution, per millicurie",09/11/2025
C2645,"Brachytherapy planar source, palladium-103, per square millimeter",09/11/2025
C2698,"Brachytherapy source, stranded, not otherwise specified, per source",09/11/2025
C2699,"Brachytherapy source, non-stranded, not otherwise specified, per source",09/11/2025
C5271,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",09/11/2025
C5272,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)",09/11/2025
C5273,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",09/11/2025
C5274,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)",09/11/2025
C5275,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area",09/11/2025
C5276,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)",09/11/2025
C5277,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children",09/11/2025
C5278,"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)",09/11/2025
C7500,"Debridement, bone including epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed, first 20 sq cm or less with manual preparation and insertion of deep (e.g., subfacial) drug-delivery device(s)",09/11/2025
C7501,"Percutaneous breast biopsies using stereotactic guidance, with placement of breast localization device(s) (e.g., clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, all lesions unilateral and bilateral (for single lesion biopsy, use appropriate code)",09/11/2025
C7502,"Percutaneous breast biopsies using magnetic resonance guidance, with placement of breast localization device(s) (e.g., clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, all lesions unilateral or bilateral (for single lesion biopsy, use appropriate code)",09/11/2025
C7503,"Open biopsy or excision of deep cervical node(s) with intraoperative identification (e.g., mapping) of sentinel lymph node(s) including injection of non-radioactive dye when performed",09/11/2025
C7504,"Percutaneous vertebroplasties (bone biopsies included when performed), first cervicothoracic and any additional cervicothoracic or lumbosacral vertebral bodies, unilateral or bilateral injection, inclusive of all imaging guidance",09/11/2025
C7505,"Percutaneous vertebroplasties (bone biopsies included when performed), first lumbosacral and any additional cervicothoracic or lumbosacral vertebral bodies, unilateral or bilateral injection, inclusive of all imaging guidance",09/11/2025
C7506,"Arthrodesis, interphalangeal joints, with or without internal fixation",09/11/2025
C7507,"Percutaneous vertebral augmentations, first thoracic and any additional thoracic or lumbar vertebral bodies, including cavity creations (fracture reductions and bone biopsies included when performed) using mechanical device (e.g., kyphoplasty), unilateral or bilateral cannulations, inclusive of all imaging guidance",09/11/2025
C7508,"Percutaneous vertebral augmentations, first lumbar and any additional thoracic or lumbar vertebral bodies, including cavity creations (fracture reductions and bone biopsies included when performed) using mechanical device (e.g., kyphoplasty), unilateral or bilateral cannulations, inclusive of all imaging guidance",09/11/2025
C7509,"Bronchoscopy, rigid or flexible, diagnostic with cell washing(s) when performed, with computer-assisted image-guided navigation, including fluoroscopic guidance when performed",09/11/2025
C7510,"Bronchoscopy, rigid or flexible, with bronchial alveolar lavage(s), with computer-assisted image-guided navigation, including fluoroscopic guidance when performed",09/11/2025
C7511,"Bronchoscopy, rigid or flexible, with single or multiple bronchial or endobronchial biopsy(ies), single or multiple sites, with computer-assisted image-guided navigation, including fluoroscopic guidance when performed",09/11/2025
C7512,"Bronchoscopy, rigid or flexible, with single or multiple bronchial or endobronchial biopsy(ies), single or multiple sites, with transendoscopic endobronchial ultrasound (ebus) during bronchoscopic diagnostic or therapeutic intervention(s) for peripheral lesion(s), including fluoroscopic guidance when performed",09/11/2025
C7513,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with transluminal balloon angioplasty of central dialysis segment, performed through dialysis circuit, including all required imaging, radiological supervision and interpretation, image documentation and report",09/11/2025
C7514,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with all angioplasty in the central dialysis segment, and transcatheter placement of intravascular stent(s), central dialysis segment, performed through dialysis circuit, including all required imaging, radiological supervision and interpretation, image documentation and report",09/11/2025
C7515,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with dialysis circuit permanent endovascular embolization or occlusion of main circuit or any accessory veins, including all required imaging, radiological supervision and interpretation, image documentation and report",09/11/2025
C7516,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report",09/11/2025
C7517,"Catheter placement in coronary artery(s) for coronary angiography, including intraprocedural injection(s) for coronary angiography, with iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation",09/11/2025
C7518,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging, supervision, interpretation and report",09/11/2025
C7519,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) including intraprocedural injection(s) for bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7520,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) includes intraprocedural injection(s) for bypass graft angiography with iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation",09/11/2025
C7521,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography with right heart catheterization with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report",09/11/2025
C7522,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation with right heart catheterization, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7523,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report",09/11/2025
C7524,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7525,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report",09/11/2025
C7526,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7527,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with endoluminal imaging of initial coronary vessel or graft using intravascular ultrasound (ivus) or optical coherence tomography (oct) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation and report",09/11/2025
C7528,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7529,"Catheter placement in coronary artery(ies) for coronary angiography, including intraprocedural injection(s) for coronary angiography, imaging supervision and interpretation, with right and left heart catheterization including intraprocedural injection(s) for left ventriculography, when performed, catheter placement(s) in bypass graft(s) (internal mammary, free arterial, venous grafts) with bypass graft angiography with intravascular doppler velocity and/or pressure derived coronary flow reserve measurement (initial coronary vessel or graft) during coronary angiography including pharmacologically induced stress",09/11/2025
C7530,"Dialysis circuit, introduction of needle(s) and/or catheter(s), with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis and adjacent artery through entire venous outflow including the inferior or superior vena cava, fluoroscopic guidance, with transluminal balloon angioplasty, peripheral dialysis segment, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty and all angioplasty in the central dialysis segment, with transcatheter placement of intravascular stent(s), central dialysis segment, performed through dialysis circuit, including all imaging, radiological supervision and interpretation, documentation and report",09/11/2025
C7531,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with transluminal angioplasty with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation",09/11/2025
C7532,"Transluminal balloon angioplasty (except lower extremity artery(ies) for occlusive disease, intracranial, coronary, pulmonary, or dialysis circuit), initial artery, open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same artery, with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation",09/11/2025
C7533,"Percutaneous transluminal coronary angioplasty, single major coronary artery or branch with transcatheter placement of radiation delivery device for subsequent coronary intravascular brachytherapy",09/11/2025
C7534,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with atherectomy, includes angioplasty within the same vessel, when performed with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation",09/11/2025
C7535,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(ies), unilateral, with transluminal stent placement(s), includes angioplasty within the same vessel, when performed, with intravascular ultrasound (initial noncoronary vessel) during diagnostic evaluation and/or therapeutic intervention, including radiological supervision and interpretation",09/11/2025
C7537,"Insertion of new or replacement of permanent pacemaker with atrial transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (e.g., for upgrade to dual chamber system)",09/11/2025
C7538,"Insertion of new or replacement of permanent pacemaker with ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (e.g., for upgrade to dual chamber system)",09/11/2025
C7539,"Insertion of new or replacement of permanent pacemaker with atrial and ventricular transvenous electrode(s), with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system)",09/11/2025
C7540,"Removal of permanent pacemaker pulse generator with replacement of pacemaker pulse generator, dual lead system, with insertion of pacing electrode, cardiac venous system, for left ventricular pacing, at time of insertion of implantable defibrillator or pacemaker pulse generator (eg, for upgrade to dual chamber system)",09/11/2025
C7541,"Diagnostic endoscopic retrograde cholangiopancreatography (ercp), including collection of specimen(s) by brushing or washing, when performed, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)",09/11/2025
C7542,"Endoscopic retrograde cholangiopancreatography (ercp) with biopsy, single or multiple, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)",09/11/2025
C7543,"Endoscopic retrograde cholangiopancreatography (ercp) with sphincterotomy/papillotomy, with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)",09/11/2025
C7544,"Endoscopic retrograde cholangiopancreatography (ercp) with removal of calculi/debris from biliary/pancreatic duct(s), with endoscopic cannulation of papilla with direct visualization of pancreatic/common bile ducts(s)",09/11/2025
C7545,"Percutaneous exchange of biliary drainage catheter (eg, external, internal-external, or conversion of internal-external to external only), with removal of calculi/debris from biliary duct(s) and/or gallbladder, including destruction of calculi by any method (eg, mechanical, electrohydraulic, lithotripsy) when performed, including diagnostic cholangiography(ies) when performed, imaging guidance (eg, fluoroscopy), and all associated radiological supervision and interpretation",09/11/2025
C7546,"Removal and replacement of externally accessible nephroureteral catheter (eg, external/internal stent) requiring fluoroscopic guidance, with ureteral stricture balloon dilation, including imaging guidance and all associated radiological supervision and interpretation",09/11/2025
