code,description,detailed_description,last_updated
F03,Unspecified dementia,N/A,09/11/2025
F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",N/A,09/11/2025
F05,"Delirium, not induced by alcohol and other psychoactive substances",N/A,09/11/2025
F050,"Delirium not superimposed on dementia, so described","Delirium not superimposed on dementia, so described",09/11/2025
F051,Delirium superimposed on dementia,Delirium superimposed on dementia,09/11/2025
F058,Other delirium,Other delirium,09/11/2025
F059,"Delirium, unspecified","Delirium, unspecified",09/11/2025
F06,Other mental disorders due to brain damage and dysfunction and to physical disease,N/A,09/11/2025
F060,Organic hallucinosis,Organic hallucinosis,09/11/2025
F061,Organic catatonic disorder,Organic catatonic disorder,09/11/2025
F062,Organic delusional [schizophrenia-like] disorder,Organic delusional [schizophrenia-like] disorder,09/11/2025
F063,Organic mood [affective] disorders,Organic mood [affective] disorders,09/11/2025
F064,Organic anxiety disorder,Organic anxiety disorder,09/11/2025
F065,Organic dissociative disorder,Organic dissociative disorder,09/11/2025
F066,Organic emotionally labile [asthenic] disorder,Organic emotionally labile [asthenic] disorder,09/11/2025
F067,Mild cognitive disorder,Mild cognitive disorder,09/11/2025
F068,Other specified mental disorders due to brain damage and dysfunction and to physical disease,Other specified mental disorders due to brain damage and dysfunction and to physical disease,09/11/2025
F069,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,09/11/2025
F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",N/A,09/11/2025
F070,Organic personality disorder,Organic personality disorder,09/11/2025
F071,Postencephalitic syndrome,Postencephalitic syndrome,09/11/2025
F072,Postconcussional syndrome,Postconcussional syndrome,09/11/2025
F078,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction","Other organic personality and behavioural disorders due to brain disease, damage and dysfunction",09/11/2025
F079,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction","Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",09/11/2025
F09,Unspecified organic or symptomatic mental disorder,N/A,09/11/2025
F10,Mental and behavioural disorders due to use of alcohol,N/A,09/11/2025
F100,Mental and behavioural disorders due to use of alcohol: Acute intoxication,Acute intoxication,09/11/2025
F101,Mental and behavioural disorders due to use of alcohol: Harmful use,Harmful use,09/11/2025
F102,Mental and behavioural disorders due to use of alcohol: Dependence syndrome,Dependence syndrome,09/11/2025
F103,Mental and behavioural disorders due to use of alcohol: Withdrawal state,Withdrawal state,09/11/2025
F104,Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F105,Mental and behavioural disorders due to use of alcohol: Psychotic disorder,Psychotic disorder,09/11/2025
F106,Mental and behavioural disorders due to use of alcohol: Amnesic syndrome,Amnesic syndrome,09/11/2025
F107,Mental and behavioural disorders due to use of alcohol: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F108,Mental and behavioural disorders due to use of alcohol: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F109,Mental and behavioural disorders due to use of alcohol: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F11,Mental and behavioural disorders due to use of opioids,N/A,09/11/2025
F110,Mental and behavioural disorders due to use of opioids: Acute intoxication,Acute intoxication,09/11/2025
F111,Mental and behavioural disorders due to use of opioids: Harmful use,Harmful use,09/11/2025
F112,Mental and behavioural disorders due to use of opioids: Dependence syndrome,Dependence syndrome,09/11/2025
F113,Mental and behavioural disorders due to use of opioids: Withdrawal state,Withdrawal state,09/11/2025
F114,Mental and behavioural disorders due to use of opioids: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F115,Mental and behavioural disorders due to use of opioids: Psychotic disorder,Psychotic disorder,09/11/2025
F116,Mental and behavioural disorders due to use of opioids: Amnesic syndrome,Amnesic syndrome,09/11/2025
F117,Mental and behavioural disorders due to use of opioids: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F118,Mental and behavioural disorders due to use of opioids: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F119,Mental and behavioural disorders due to use of opioids: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F12,Mental and behavioural disorders due to use of cannabinoids,N/A,09/11/2025
F120,Mental and behavioural disorders due to use of cannabinoids: Acute intoxication,Acute intoxication,09/11/2025
F121,Mental and behavioural disorders due to use of cannabinoids: Harmful use,Harmful use,09/11/2025
F122,Mental and behavioural disorders due to use of cannabinoids: Dependence syndrome,Dependence syndrome,09/11/2025
F123,Mental and behavioural disorders due to use of cannabinoids: Withdrawal state,Withdrawal state,09/11/2025
F124,Mental and behavioural disorders due to use of cannabinoids: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F125,Mental and behavioural disorders due to use of cannabinoids: Psychotic disorder,Psychotic disorder,09/11/2025
F126,Mental and behavioural disorders due to use of cannabinoids: Amnesic syndrome,Amnesic syndrome,09/11/2025
F127,Mental and behavioural disorders due to use of cannabinoids: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F128,Mental and behavioural disorders due to use of cannabinoids: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F129,Mental and behavioural disorders due to use of cannabinoids: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F13,Mental and behavioural disorders due to use of sedatives or hypnotics,N/A,09/11/2025
F130,Mental and behavioural disorders due to use of sedatives or hypnotics: Acute intoxication,Acute intoxication,09/11/2025
F131,Mental and behavioural disorders due to use of sedatives or hypnotics: Harmful use,Harmful use,09/11/2025
F132,Mental and behavioural disorders due to use of sedatives or hypnotics: Dependence syndrome,Dependence syndrome,09/11/2025
F133,Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state,Withdrawal state,09/11/2025
F134,Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F135,Mental and behavioural disorders due to use of sedatives or hypnotics: Psychotic disorder,Psychotic disorder,09/11/2025
F136,Mental and behavioural disorders due to use of sedatives or hypnotics: Amnesic syndrome,Amnesic syndrome,09/11/2025
F137,Mental and behavioural disorders due to use of sedatives or hypnotics: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F138,Mental and behavioural disorders due to use of sedatives or hypnotics: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F139,Mental and behavioural disorders due to use of sedatives or hypnotics: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F14,Mental and behavioural disorders due to use of cocaine,N/A,09/11/2025
F140,Mental and behavioural disorders due to use of cocaine: Acute intoxication,Acute intoxication,09/11/2025
F141,Mental and behavioural disorders due to use of cocaine: Harmful use,Harmful use,09/11/2025
F142,Mental and behavioural disorders due to use of cocaine: Dependence syndrome,Dependence syndrome,09/11/2025
F143,Mental and behavioural disorders due to use of cocaine: Withdrawal state,Withdrawal state,09/11/2025
F144,Mental and behavioural disorders due to use of cocaine: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F145,Mental and behavioural disorders due to use of cocaine: Psychotic disorder,Psychotic disorder,09/11/2025
F146,Mental and behavioural disorders due to use of cocaine: Amnesic syndrome,Amnesic syndrome,09/11/2025
F147,Mental and behavioural disorders due to use of cocaine: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F148,Mental and behavioural disorders due to use of cocaine: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F149,Mental and behavioural disorders due to use of cocaine: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",N/A,09/11/2025
F150,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Acute intoxication",Acute intoxication,09/11/2025
F151,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Harmful use",Harmful use,09/11/2025
F152,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Dependence syndrome",Dependence syndrome,09/11/2025
F153,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state",Withdrawal state,09/11/2025
F154,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state with delirium",Withdrawal state with delirium,09/11/2025
F155,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Psychotic disorder",Psychotic disorder,09/11/2025
F156,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Amnesic syndrome",Amnesic syndrome,09/11/2025
F157,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Residual and late-onset psychotic disorder",Residual and late-onset psychotic disorder,09/11/2025
F158,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Other mental and behavioural disorders",Other mental and behavioural disorders,09/11/2025
F159,"Mental and behavioural disorders due to use of other stimulants, including caffeine: Unspecified mental and behavioural disorder",Unspecified mental and behavioural disorder,09/11/2025
F16,Mental and behavioural disorders due to use of hallucinogens,N/A,09/11/2025
F160,Mental and behavioural disorders due to use of hallucinogens: Acute intoxication,Acute intoxication,09/11/2025
F161,Mental and behavioural disorders due to use of hallucinogens: Harmful use,Harmful use,09/11/2025
F162,Mental and behavioural disorders due to use of hallucinogens: Dependence syndrome,Dependence syndrome,09/11/2025
F163,Mental and behavioural disorders due to use of hallucinogens: Withdrawal state,Withdrawal state,09/11/2025
F164,Mental and behavioural disorders due to use of hallucinogens: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F165,Mental and behavioural disorders due to use of hallucinogens: Psychotic disorder,Psychotic disorder,09/11/2025
F166,Mental and behavioural disorders due to use of hallucinogens: Amnesic syndrome,Amnesic syndrome,09/11/2025
F167,Mental and behavioural disorders due to use of hallucinogens: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F168,Mental and behavioural disorders due to use of hallucinogens: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F169,Mental and behavioural disorders due to use of hallucinogens: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F17,Mental and behavioural disorders due to use of tobacco,N/A,09/11/2025
F170,Mental and behavioural disorders due to use of tobacco: Acute intoxication,Acute intoxication,09/11/2025
F171,Mental and behavioural disorders due to use of tobacco: Harmful use,Harmful use,09/11/2025
F172,Mental and behavioural disorders due to use of tobacco: Dependence syndrome,Dependence syndrome,09/11/2025
F173,Mental and behavioural disorders due to use of tobacco: Withdrawal state,Withdrawal state,09/11/2025
F174,Mental and behavioural disorders due to use of tobacco: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F175,Mental and behavioural disorders due to use of tobacco: Psychotic disorder,Psychotic disorder,09/11/2025
F176,Mental and behavioural disorders due to use of tobacco: Amnesic syndrome,Amnesic syndrome,09/11/2025
F177,Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F178,Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F179,Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F18,Mental and behavioural disorders due to use of volatile solvents,N/A,09/11/2025
F180,Mental and behavioural disorders due to use of volatile solvents: Acute intoxication,Acute intoxication,09/11/2025
F181,Mental and behavioural disorders due to use of volatile solvents: Harmful use,Harmful use,09/11/2025
F182,Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome,Dependence syndrome,09/11/2025
F183,Mental and behavioural disorders due to use of volatile solvents: Withdrawal state,Withdrawal state,09/11/2025
F184,Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F185,Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder,Psychotic disorder,09/11/2025
F186,Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome,Amnesic syndrome,09/11/2025
F187,Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F188,Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F189,Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,N/A,09/11/2025
F190,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication,Acute intoxication,09/11/2025
F191,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use,Harmful use,09/11/2025
F192,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome,Dependence syndrome,09/11/2025
F193,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state,Withdrawal state,09/11/2025
F194,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium,Withdrawal state with delirium,09/11/2025
F195,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder,Psychotic disorder,09/11/2025
F196,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome,Amnesic syndrome,09/11/2025
F197,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder,Residual and late-onset psychotic disorder,09/11/2025
F198,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders,Other mental and behavioural disorders,09/11/2025
F199,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder,Unspecified mental and behavioural disorder,09/11/2025
F20,Schizophrenia,N/A,09/11/2025
F200,Paranoid schizophrenia,Paranoid schizophrenia,09/11/2025
F201,Hebephrenic schizophrenia,Hebephrenic schizophrenia,09/11/2025
F202,Catatonic schizophrenia,Catatonic schizophrenia,09/11/2025
F203,Undifferentiated schizophrenia,Undifferentiated schizophrenia,09/11/2025
F204,Post-schizophrenic depression,Post-schizophrenic depression,09/11/2025
F205,Residual schizophrenia,Residual schizophrenia,09/11/2025
F206,Simple schizophrenia,Simple schizophrenia,09/11/2025
F208,Other schizophrenia,Other schizophrenia,09/11/2025
F209,"Schizophrenia, unspecified","Schizophrenia, unspecified",09/11/2025
F21,Schizotypal disorder,N/A,09/11/2025
F22,Persistent delusional disorders,N/A,09/11/2025
F220,Delusional disorder,Delusional disorder,09/11/2025
F228,Other persistent delusional disorders,Other persistent delusional disorders,09/11/2025
F229,"Persistent delusional disorder, unspecified","Persistent delusional disorder, unspecified",09/11/2025
F23,Acute and transient psychotic disorders,N/A,09/11/2025
F230,Acute polymorphic psychotic disorder without symptoms of schizophrenia,Acute polymorphic psychotic disorder without symptoms of schizophrenia,09/11/2025
F231,Acute polymorphic psychotic disorder with symptoms of schizophrenia,Acute polymorphic psychotic disorder with symptoms of schizophrenia,09/11/2025
F232,Acute schizophrenia-like psychotic disorder,Acute schizophrenia-like psychotic disorder,09/11/2025
F233,Other acute predominantly delusional psychotic disorders,Other acute predominantly delusional psychotic disorders,09/11/2025
F238,Other acute and transient psychotic disorders,Other acute and transient psychotic disorders,09/11/2025
F239,"Acute and transient psychotic disorder, unspecified","Acute and transient psychotic disorder, unspecified",09/11/2025
F24,Induced delusional disorder,N/A,09/11/2025
F25,Schizoaffective disorders,N/A,09/11/2025
F250,"Schizoaffective disorder, manic type","Schizoaffective disorder, manic type",09/11/2025
F251,"Schizoaffective disorder, depressive type","Schizoaffective disorder, depressive type",09/11/2025
F252,"Schizoaffective disorder, mixed type","Schizoaffective disorder, mixed type",09/11/2025
F258,Other schizoaffective disorders,Other schizoaffective disorders,09/11/2025
F259,"Schizoaffective disorder, unspecified","Schizoaffective disorder, unspecified",09/11/2025
F28,Other nonorganic psychotic disorders,N/A,09/11/2025
F29,Unspecified nonorganic psychosis,N/A,09/11/2025
F30,Manic episode,N/A,09/11/2025
F300,Hypomania,Hypomania,09/11/2025
F301,Mania without psychotic symptoms,Mania without psychotic symptoms,09/11/2025
F302,Mania with psychotic symptoms,Mania with psychotic symptoms,09/11/2025
F308,Other manic episodes,Other manic episodes,09/11/2025
F309,"Manic episode, unspecified","Manic episode, unspecified",09/11/2025
F31,Bipolar affective disorder,N/A,09/11/2025
F310,"Bipolar affective disorder, current episode hypomanic","Bipolar affective disorder, current episode hypomanic",09/11/2025
F311,"Bipolar affective disorder, current episode manic without psychotic symptoms","Bipolar affective disorder, current episode manic without psychotic symptoms",09/11/2025
F312,"Bipolar affective disorder, current episode manic with psychotic symptoms","Bipolar affective disorder, current episode manic with psychotic symptoms",09/11/2025
F313,"Bipolar affective disorder, current episode mild or moderate depression","Bipolar affective disorder, current episode mild or moderate depression",09/11/2025
F314,"Bipolar affective disorder, current episode severe depression without psychotic symptoms","Bipolar affective disorder, current episode severe depression without psychotic symptoms",09/11/2025
F315,"Bipolar affective disorder, current episode severe depression with psychotic symptoms","Bipolar affective disorder, current episode severe depression with psychotic symptoms",09/11/2025
F316,"Bipolar affective disorder, current episode mixed","Bipolar affective disorder, current episode mixed",09/11/2025
F317,"Bipolar affective disorder, currently in remission","Bipolar affective disorder, currently in remission",09/11/2025
F318,Other bipolar affective disorders,Other bipolar affective disorders,09/11/2025
F319,"Bipolar affective disorder, unspecified","Bipolar affective disorder, unspecified",09/11/2025
F32,Depressive episode,N/A,09/11/2025
F320,Mild depressive episode,Mild depressive episode,09/11/2025
F321,Moderate depressive episode,Moderate depressive episode,09/11/2025
F322,Severe depressive episode without psychotic symptoms,Severe depressive episode without psychotic symptoms,09/11/2025
F323,Severe depressive episode with psychotic symptoms,Severe depressive episode with psychotic symptoms,09/11/2025
F328,Other depressive episodes,Other depressive episodes,09/11/2025
F329,"Depressive episode, unspecified","Depressive episode, unspecified",09/11/2025
F33,Recurrent depressive disorder,N/A,09/11/2025
F330,"Recurrent depressive disorder, current episode mild","Recurrent depressive disorder, current episode mild",09/11/2025
F331,"Recurrent depressive disorder, current episode moderate","Recurrent depressive disorder, current episode moderate",09/11/2025
F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms","Recurrent depressive disorder, current episode severe without psychotic symptoms",09/11/2025
F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms","Recurrent depressive disorder, current episode severe with psychotic symptoms",09/11/2025
F334,"Recurrent depressive disorder, currently in remission","Recurrent depressive disorder, currently in remission",09/11/2025
F338,Other recurrent depressive disorders,Other recurrent depressive disorders,09/11/2025
F339,"Recurrent depressive disorder, unspecified","Recurrent depressive disorder, unspecified",09/11/2025
F34,Persistent mood [affective] disorders,N/A,09/11/2025
F340,Cyclothymia,Cyclothymia,09/11/2025
F341,Dysthymia,Dysthymia,09/11/2025
F348,Other persistent mood [affective] disorders,Other persistent mood [affective] disorders,09/11/2025
F349,"Persistent mood [affective] disorder, unspecified","Persistent mood [affective] disorder, unspecified",09/11/2025
F38,Other mood [affective] disorders,N/A,09/11/2025
F380,Other single mood [affective] disorders,Other single mood [affective] disorders,09/11/2025
F381,Other recurrent mood [affective] disorders,Other recurrent mood [affective] disorders,09/11/2025
F388,Other specified mood [affective] disorders,Other specified mood [affective] disorders,09/11/2025
F39,Unspecified mood [affective] disorder,N/A,09/11/2025
F40,Phobic anxiety disorders,N/A,09/11/2025
F400,Agoraphobia,Agoraphobia,09/11/2025
F401,Social phobias,Social phobias,09/11/2025
F402,Specific (isolated) phobias,Specific (isolated) phobias,09/11/2025
F408,Other phobic anxiety disorders,Other phobic anxiety disorders,09/11/2025
F409,"Phobic anxiety disorder, unspecified","Phobic anxiety disorder, unspecified",09/11/2025
F41,Other anxiety disorders,N/A,09/11/2025
F410,Panic disorder [episodic paroxysmal anxiety],Panic disorder [episodic paroxysmal anxiety],09/11/2025
F411,Generalized anxiety disorder,Generalized anxiety disorder,09/11/2025
F412,Mixed anxiety and depressive disorder,Mixed anxiety and depressive disorder,09/11/2025
F413,Other mixed anxiety disorders,Other mixed anxiety disorders,09/11/2025
F418,Other specified anxiety disorders,Other specified anxiety disorders,09/11/2025
F419,"Anxiety disorder, unspecified","Anxiety disorder, unspecified",09/11/2025
F42,Obsessive-compulsive disorder,N/A,09/11/2025
F420,Predominantly obsessional thoughts or ruminations,Predominantly obsessional thoughts or ruminations,09/11/2025
F421,Predominantly compulsive acts [obsessional rituals],Predominantly compulsive acts [obsessional rituals],09/11/2025
F422,Mixed obsessional thoughts and acts,Mixed obsessional thoughts and acts,09/11/2025
F428,Other obsessive-compulsive disorders,Other obsessive-compulsive disorders,09/11/2025
F429,"Obsessive-compulsive disorder, unspecified","Obsessive-compulsive disorder, unspecified",09/11/2025
F43,"Reaction to severe stress, and adjustment disorders",N/A,09/11/2025
F430,Acute stress reaction,Acute stress reaction,09/11/2025
F431,Post-traumatic stress disorder,Post-traumatic stress disorder,09/11/2025
F432,Adjustment disorders,Adjustment disorders,09/11/2025
F438,Other reactions to severe stress,Other reactions to severe stress,09/11/2025
F439,"Reaction to severe stress, unspecified","Reaction to severe stress, unspecified",09/11/2025
F44,Dissociative [conversion] disorders,N/A,09/11/2025
F440,Dissociative amnesia,Dissociative amnesia,09/11/2025
F441,Dissociative fugue,Dissociative fugue,09/11/2025
F442,Dissociative stupor,Dissociative stupor,09/11/2025
F443,Trance and possession disorders,Trance and possession disorders,09/11/2025
F444,Dissociative motor disorders,Dissociative motor disorders,09/11/2025
F445,Dissociative convulsions,Dissociative convulsions,09/11/2025
F446,Dissociative anaesthesia and sensory loss,Dissociative anaesthesia and sensory loss,09/11/2025
F447,Mixed dissociative [conversion] disorders,Mixed dissociative [conversion] disorders,09/11/2025
F448,Other dissociative [conversion] disorders,Other dissociative [conversion] disorders,09/11/2025
F449,"Dissociative [conversion] disorder, unspecified","Dissociative [conversion] disorder, unspecified",09/11/2025
F45,Somatoform disorders,N/A,09/11/2025
F450,Somatization disorder,Somatization disorder,09/11/2025
F451,Undifferentiated somatoform disorder,Undifferentiated somatoform disorder,09/11/2025
F452,Hypochondriacal disorder,Hypochondriacal disorder,09/11/2025
F453,Somatoform autonomic dysfunction,Somatoform autonomic dysfunction,09/11/2025
F454,Persistent somatoform pain disorder,Persistent somatoform pain disorder,09/11/2025
F458,Other somatoform disorders,Other somatoform disorders,09/11/2025
F459,"Somatoform disorder, unspecified","Somatoform disorder, unspecified",09/11/2025
F48,Other neurotic disorders,N/A,09/11/2025
F480,Neurasthenia,Neurasthenia,09/11/2025
F481,Depersonalization-derealization syndrome,Depersonalization-derealization syndrome,09/11/2025
F488,Other specified neurotic disorders,Other specified neurotic disorders,09/11/2025
F489,"Neurotic disorder, unspecified","Neurotic disorder, unspecified",09/11/2025
F50,Eating disorders,N/A,09/11/2025
F500,Anorexia nervosa,Anorexia nervosa,09/11/2025
F501,Atypical anorexia nervosa,Atypical anorexia nervosa,09/11/2025
F502,Bulimia nervosa,Bulimia nervosa,09/11/2025
F503,Atypical bulimia nervosa,Atypical bulimia nervosa,09/11/2025
F504,Overeating associated with other psychological disturbances,Overeating associated with other psychological disturbances,09/11/2025
F505,Vomiting associated with other psychological disturbances,Vomiting associated with other psychological disturbances,09/11/2025
F508,Other eating disorders,Other eating disorders,09/11/2025
F509,"Eating disorder, unspecified","Eating disorder, unspecified",09/11/2025
F51,Nonorganic sleep disorders,N/A,09/11/2025
F510,Nonorganic insomnia,Nonorganic insomnia,09/11/2025
F511,Nonorganic hypersomnia,Nonorganic hypersomnia,09/11/2025
F512,Nonorganic disorder of the sleep-wake schedule,Nonorganic disorder of the sleep-wake schedule,09/11/2025
F513,Sleepwalking [somnambulism],Sleepwalking [somnambulism],09/11/2025
F514,Sleep terrors [night terrors],Sleep terrors [night terrors],09/11/2025
F515,Nightmares,Nightmares,09/11/2025
F518,Other nonorganic sleep disorders,Other nonorganic sleep disorders,09/11/2025
F519,"Nonorganic sleep disorder, unspecified","Nonorganic sleep disorder, unspecified",09/11/2025
F52,"Sexual dysfunction, not caused by organic disorder or disease",N/A,09/11/2025
F520,Lack or loss of sexual desire,Lack or loss of sexual desire,09/11/2025
F521,Sexual aversion and lack of sexual enjoyment,Sexual aversion and lack of sexual enjoyment,09/11/2025
F522,Failure of genital response,Failure of genital response,09/11/2025
F523,Orgasmic dysfunction,Orgasmic dysfunction,09/11/2025
F524,Premature ejaculation,Premature ejaculation,09/11/2025
F525,Nonorganic vaginismus,Nonorganic vaginismus,09/11/2025
F526,Nonorganic dyspareunia,Nonorganic dyspareunia,09/11/2025
F527,Excessive sexual drive,Excessive sexual drive,09/11/2025
F528,"Other sexual dysfunction, not caused by organic disorder or disease","Other sexual dysfunction, not caused by organic disorder or disease",09/11/2025
F529,"Unspecified sexual dysfunction, not caused by organic disorder or disease","Unspecified sexual dysfunction, not caused by organic disorder or disease",09/11/2025
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",N/A,09/11/2025
F530,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",09/11/2025
F531,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified","Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",09/11/2025
F538,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified","Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",09/11/2025
F539,"Puerperal mental disorder, unspecified","Puerperal mental disorder, unspecified",09/11/2025
F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,N/A,09/11/2025
F55,Abuse of non-dependence-producing substances,N/A,09/11/2025
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,N/A,09/11/2025
F60,Specific personality disorders,N/A,09/11/2025
F600,Paranoid personality disorder,Paranoid personality disorder,09/11/2025
F601,Schizoid personality disorder,Schizoid personality disorder,09/11/2025
F602,Dissocial personality disorder,Dissocial personality disorder,09/11/2025
F603,Emotionally unstable personality disorder,Emotionally unstable personality disorder,09/11/2025
F604,Histrionic personality disorder,Histrionic personality disorder,09/11/2025
F605,Anankastic personality disorder,Anankastic personality disorder,09/11/2025
F606,Anxious [avoidant] personality disorder,Anxious [avoidant] personality disorder,09/11/2025
F607,Dependent personality disorder,Dependent personality disorder,09/11/2025
F608,Other specific personality disorders,Other specific personality disorders,09/11/2025
F609,"Personality disorder, unspecified","Personality disorder, unspecified",09/11/2025
F61,Mixed and other personality disorders,N/A,09/11/2025
F62,"Enduring personality changes, not attributable to brain damage and disease",N/A,09/11/2025
F620,Enduring personality change after catastrophic experience,Enduring personality change after catastrophic experience,09/11/2025
F621,Enduring personality change after psychiatric illness,Enduring personality change after psychiatric illness,09/11/2025
F628,Other enduring personality changes,Other enduring personality changes,09/11/2025
F629,"Enduring personality change, unspecified","Enduring personality change, unspecified",09/11/2025
F63,Habit and impulse disorders,N/A,09/11/2025
F630,Pathological gambling,Pathological gambling,09/11/2025
F631,Pathological fire-setting [pyromania],Pathological fire-setting [pyromania],09/11/2025
F632,Pathological stealing [kleptomania],Pathological stealing [kleptomania],09/11/2025
F633,Trichotillomania,Trichotillomania,09/11/2025
F638,Other habit and impulse disorders,Other habit and impulse disorders,09/11/2025
F639,"Habit and impulse disorder, unspecified","Habit and impulse disorder, unspecified",09/11/2025
F64,Gender identity disorders,N/A,09/11/2025
F640,Transsexualism,Transsexualism,09/11/2025
F641,Dual-role transvestism,Dual-role transvestism,09/11/2025
F642,Gender identity disorder of childhood,Gender identity disorder of childhood,09/11/2025
F648,Other gender identity disorders,Other gender identity disorders,09/11/2025
F649,"Gender identity disorder, unspecified","Gender identity disorder, unspecified",09/11/2025
F65,Disorders of sexual preference,N/A,09/11/2025
F650,Fetishism,Fetishism,09/11/2025
F651,Fetishistic transvestism,Fetishistic transvestism,09/11/2025
F652,Exhibitionism,Exhibitionism,09/11/2025
F653,Voyeurism,Voyeurism,09/11/2025
